City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Puerto Ayora,EC,2022-01-27 17:09:24,-0.7393,-90.3518,80.56,73,88,8.66
166,Airai,TL,2022-01-27 17:09:25,-8.9266,125.4092,61.39,90,84,3.02
167,Walvis Bay,NA,2022-01-27 17:09:25,-22.9575,14.5053,65.08,74,41,18.9
168,Jamestown,US,2022-01-27 17:07:28,42.097,-79.2353,24.03,39,75,5.01
169,Elbistan,TR,2022-01-27 17:09:25,38.2059,37.1983,6.3,85,3,2.37
170,Cidreira,BR,2022-01-27 17:07:15,-30.1811,-50.2056,74.75,79,100,19.17
171,Flinders,AU,2022-01-27 17:04:54,-34.5833,150.8552,74.21,90,41,7.99
172,Coronel Vivida,BR,2022-01-27 17:09:26,-25.9797,-52.5678,75.56,91,100,4.16
173,Mangrol,IN,2022-01-27 17:09:26,21.1167,70.1167,66.42,36,0,10.87
174,Flin Flon,CA,2022-01-27 17:09:27,54.7682,-101.865,-9.74,87,98,7.0
175,Statesboro,US,2022-01-27 17:09:27,32.4488,-81.7832,51.94,27,0,6.91
176,Yanam,IN,2022-01-27 17:10:27,16.7333,82.2167,70.95,86,1,5.19
177,Bredasdorp,ZA,2022-01-27 17:10:28,-34.5322,20.0403,70.29,61,56,9.57
178,Svetlaya,RU,2022-01-27 17:10:28,46.5389,138.3297,6.57,77,7,8.68
179,Miramar,US,2022-01-27 17:10:28,25.9873,-80.2323,78.82,78,100,6.91
180,Constitucion,CL,2022-01-27 17:10:29,-35.3333,-72.4167,68.2,68,36,8.32
181,Upernavik,GL,2022-01-27 17:10:29,72.7868,-56.1549,-8.09,72,41,7.61
182,Batagay,RU,2022-01-27 17:10:29,67.6333,134.6333,-16.33,96,99,4.38
183,Vaitape,PF,2022-01-27 17:10:30,-16.5167,-151.75,80.58,78,58,16.49
184,Manokwari,ID,2022-01-27 17:10:30,-0.8667,134.0833,77.68,83,83,0.85
185,Lavra,PT,2022-01-27 17:10:30,41.2594,-8.7185,63.14,51,0,8.05
