City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Kroya,ID,76.19,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
179,Poum,NC,79.84,overcast clouds,-20.2333,164.0167,Gîte kajeon
185,Cururupu,BR,76.71,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
199,Mar Del Plata,AR,84.22,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
202,Beruwala,LK,78.85,few clouds,6.4788,79.9828,The Palms Hotel
207,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
208,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
211,Luwuk,ID,77.61,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
212,Touho,NC,78.58,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
213,Fare,PF,80.08,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
214,Monrovia,LR,82.17,scattered clouds,6.3005,-10.7969,Sunset Inn
215,Cidreira,BR,75.99,clear sky,-30.1811,-50.2056,Hotel Castelo
218,Jacareacanga,BR,80.49,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
221,Buala,SB,80.04,light rain,-8.145,159.5921,Maringe Lagoon Lodge
223,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
225,Moron,AR,89.02,clear sky,-34.6534,-58.6198,Hotel Morón
227,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
229,Vila Velha,BR,84.15,thunderstorm,-20.3297,-40.2925,Hotel Vitória Palace
231,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
233,Santa Isabel Do Rio Negro,BR,86.11,overcast clouds,-0.4139,-65.0192,Hotel GSA
240,Pangai,TO,80.83,light rain,-19.8,-174.35,Ha'apai Beach Resort
242,Sabya,SA,80.22,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
246,Ladario,BR,89.89,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
248,Kankon,IN,75.0,clear sky,15.0167,74.0167,Palolem Beach Resort
249,Lagunas,PE,88.61,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
250,Canguaretama,BR,86.49,few clouds,-6.38,-35.1289,Pousada do Italiano
255,Conakry,GN,82.47,haze,9.538,-13.6773,Riviera Royal Hotel
258,Port-Gentil,GA,81.27,overcast clouds,-0.7193,8.7815,Fengshui Residence
264,Sumbe,AO,77.88,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
266,Lat Yao,TH,75.51,clear sky,15.751,99.7893,โรงแรมสอระ
